Ticks,Ax,Ay,Az
863260,-1.040293,-0.9084249,0.7013431
863460,-1.226862,-0.8713065,0.5821734
863679,-1.154579,-0.4747253,0.3360195
863884,-1.438828,0.1318681,-0.4473749
864084,-0.8234432,-0.5440782,0.6612943
864285,-0.3623932,-1.688889,0.8078144
864485,-1.403663,-1.240537,0.4434677
864689,-1.244444,-0.2969475,0.2520147
864895,-1.339194,-0.4043956,-0.3623932
865095,-0.7316239,-0.7101343,0.6554335
865295,-0.8244201,-1.565812,0.4141636
865495,-1.540415,-1.18486,0.3506716
865700,-1.280586,-0.05860806,0.3467643
865905,-1.410501,-0.589011,-0.1103785
866105,-0.9357753,-0.8410255,0.6534799
866306,-1.086203,-1.931136,0.9465201
866506,-1.368498,-0.8566545,0.1982906
866707,-1.095971,0.2647131,0.3184371
866907,-1.346032,-0.6212454,0.08400489
867107,-0.9152625,-0.8703297,0.7052503
867307,-1.148718,-1.93602,0.7501832
867507,-1.409524,-0.7873016,0.1689866
867721,-1.09304,-0.1250305,0.3506716
867921,-0.9592186,-0.7003663,0.7716728
868121,-1.035409,-0.9484737,0.7677656
868322,-0.6505495,-1.263004,1.057876
868522,-0.9924298,-0.6056166,0.2442003
868749,-1.272772,-0.1582418,0.3155067
868950,-0.4493285,-0.5225885,0.7072039
869151,-1.172161,-1.288401,0.5108669
869352,-0.7970696,-0.8146521,0.760928
869552,-1.039316,-0.4854701,0.3653236
869759,-1.393895,0.4336997,0.2334554
869960,-0.5421246,-0.4620269,0.3848596
870160,-0.9054945,-1.26105,0.637851
870361,-0.9943834,-0.8869353,0.5860806
870562,-1.200488,-0.3477412,0.3399267
870772,-1.33138,0.2568987,0.07619048
870972,-0.5782662,-0.4053724,0.5470086
871172,-0.7482296,-1.067644,0.4864469
871373,-1.42906,-0.7472528,0.4757021
871573,-0.8693528,-0.05860806,0.4278389
871784,-1.419292,0.2412698,0.03418803
871984,-0.6368742,-0.5821734,0.5098901
872184,-0.4766789,-1.369475,0.579243
872384,-1.373382,-1.307937,0.3770452
