Ticks,Tics,TicDelta,Ax-1,Ay-1,Az-1,Ax,Ay,Az,Distance,DistanceDelta,Ax-avg,Ay-avg,Az-avg,DistanceDelta-avg,Ax-avgN,Ay-avgN,Az-avgN,A-mag,DistanceDelta-1
831103,9131,220,-1.991697,-1.055922,0.2871795,-1.112576,0.03223443,0.3516484,14.0003,0.1996,-1.35032948,-0.812503054,0.28210014,0.186,-0.07169712,-0.0398535,0.0074237,1.167270753,0.1815
831304,9332,201,-1.112576,0.03223443,0.3516484,-1.74652,-0.7003663,-0.6007326,14.184,0.1837,-1.3786567,-0.747643454,0.40908422,0.18626,-0.02832722,0.0648596,0.12698408,1.975278391,0.1996
831505,9533,201,-1.74652,-0.7003663,-0.6007326,-1.127228,-0.9260074,0.7814408,14.3677,0.1837,-1.3786567,-0.737680054,0.345006074,0.1865,0,0.0099634,-0.064078146,1.654926703,0.1837
831705,9733,200,-1.127228,-0.9260074,0.7814408,-0.9152625,-1.088156,1.225885,14.5505,0.1828,-1.4271061,-0.72087908,0.336214854,0.18552,-0.0484494,0.016800974,-0.00879122,1.877387269,0.1837
831905,9933,200,-0.9152625,-1.088156,1.225885,-1.991697,-1.006105,-0.03321123,14.7332,0.1827,-1.4689133,-0.69567762,0.390329634,0.18522,-0.0418072,0.02520146,0.05411478,2.231637783,0.1828
832118,10146,213,-1.991697,-1.006105,-0.03321123,-1.354823,0.1162393,0.3076923,14.9279,0.1947,-1.4839561,-0.72166054,0.384859554,0.18492,-0.0150428,-0.02598292,-0.00547008,1.39417771,0.1827
832318,10346,200,-1.354823,0.1162393,0.3076923,-1.955556,-0.574359,-0.3301587,15.1101,0.1822,-1.5681564,-0.71267414,0.425103754,0.18482,-0.0842003,0.0089864,0.0402442,2.06472572,0.1947
832518,10546,200,-1.955556,-0.574359,-0.3301587,-1.202442,-1.055922,0.7540904,15.2923,0.1822,-1.509939,-0.66442018,0.415726464,0.18472,0.0582174,0.04825396,-0.00937729,1.769036564,0.1822
832718,10746,200,-1.202442,-1.055922,0.7540904,-1.336264,-1.043224,1.427106,15.4746,0.1823,-1.5083762,-0.63785118,0.427643444,0.18514,0.0015628,0.026569,0.01191698,2.215975931,0.1822
832918,10946,200,-1.336264,-1.043224,1.427106,-1.70061,-0.7648352,-0.08009768,15.6568,0.1822,-1.4898168,-0.74354098,0.887716784,0.18518,0.0185594,-0.1056898,0.46007334,1.866403733,0.1823
